pertanyaan;jawaban;kategori
apakah saya ada kesalahan sehingga tidak dapat input data krs?;Server Down atau Silahkan cek status pembayaran Anda di CBIS karena melakukan KRS harus menyelesaikan administrasi terlebih dahulu.;administratif
input Matkul gagal/error apa yang harus dilakukan?;Server Down atau Silahkan cek status pembayaran Anda di CBIS karena melakukan KRS harus menyelesaikan administrasi terlebih dahulu.;administratif
kenapa isi KRS gagal terus?;Server Down atau Silahkan cek status pembayaran Anda di CBIS karena melakukan KRS harus menyelesaikan administrasi terlebih dahulu.;administratif
kenapa masih tertulis belum melakukan pembayaran pas input krs?;Server Down atau Silahkan cek status pembayaran Anda di CBIS karena melakukan KRS harus menyelesaikan administrasi terlebih dahulu.;administratif
mengapa input mata kuliah(MK) tidak berhasil?;Server Down atau Silahkan cek status pembayaran Anda di CBIS karena melakukan KRS harus menyelesaikan administrasi terlebih dahulu.;administratif
penyebab gagal isi mata kuliah?;Server Down atau Silahkan cek status pembayaran Anda di CBIS karena melakukan KRS harus menyelesaikan administrasi terlebih dahulu.;administratif
saya belum dapat isi krs kira-kira kenapa?;Server Down atau Silahkan cek status pembayaran Anda di CBIS karena melakukan KRS harus menyelesaikan administrasi terlebih dahulu.;administratif
apakah nanti masih diperbaharui lagi jumlah kelas dan kuota-nya?;Silahkan dicek kembali setelah sesi revisi KRS. kemungkinan ada slot yang kosong. Jika memang peminatnya memenuhi syarat minimal, prodi bisa membuka kelas baru. Kelas yang sudah dipilih bisa dibatalkan jika pesertanya tidak memenuhi syarat minimal.  Jika ada mahasiwa yang masih tetap belum mendapatkan kelas atau input krsnya hilang dapat menghubungi ketua prodi;administratif
Bagaimana tutorial mengurus jika jadwal belajar bentrok?;Silahkan dicek kembali setelah sesi revisi KRS. kemungkinan ada slot yang kosong. Jika memang peminatnya memenuhi syarat minimal, prodi bisa membuka kelas baru. Kelas yang sudah dipilih bisa dibatalkan jika pesertanya tidak memenuhi syarat minimal.  Jika ada mahasiwa yang masih tetap belum mendapatkan kelas atau input krsnya hilang dapat menghubungi ketua prodi;administratif
halaman input krs di cbis saya tidak muncul.;Silahkan dicek kembali setelah sesi revisi KRS. kemungkinan ada slot yang kosong. Jika memang peminatnya memenuhi syarat minimal, prodi bisa membuka kelas baru. Kelas yang sudah dipilih bisa dibatalkan jika pesertanya tidak memenuhi syarat minimal.  Jika ada mahasiwa yang masih tetap belum mendapatkan kelas atau input krsnya hilang dapat menghubungi ketua prodi;administratif
jadwal hari senin saya sudah full apakah bisa masuk kelas * jumat?;Silahkan dicek kembali setelah sesi revisi KRS. kemungkinan ada slot yang kosong. Jika memang peminatnya memenuhi syarat minimal, prodi bisa membuka kelas baru. Kelas yang sudah dipilih bisa dibatalkan jika pesertanya tidak memenuhi syarat minimal.  Jika ada mahasiwa yang masih tetap belum mendapatkan kelas atau input krsnya hilang dapat menghubungi ketua prodi;administratif
Kelas yang ingin saya ikuti sudah penuh, apakah bisa dibuka kelas baru untuk mata kuliah tersebut?;Silahkan dicek kembali setelah sesi revisi KRS. kemungkinan ada slot yang kosong. Jika memang peminatnya memenuhi syarat minimal, prodi bisa membuka kelas baru. Kelas yang sudah dipilih bisa dibatalkan jika pesertanya tidak memenuhi syarat minimal.  Jika ada mahasiwa yang masih tetap belum mendapatkan kelas atau input krsnya hilang dapat menghubungi ketua prodi;administratif
kenapa tidak ada link input KRS di cbis saya?;Silahkan dicek kembali setelah sesi revisi KRS. kemungkinan ada slot yang kosong. Jika memang peminatnya memenuhi syarat minimal, prodi bisa membuka kelas baru. Kelas yang sudah dipilih bisa dibatalkan jika pesertanya tidak memenuhi syarat minimal.  Jika ada mahasiwa yang masih tetap belum mendapatkan kelas atau input krsnya hilang dapat menghubungi ketua prodi;administratif
Saya tidak [dapat|bisa] melakukan KRS.;Silahkan dicek kembali setelah sesi revisi KRS. kemungkinan ada slot yang kosong. Jika memang peminatnya memenuhi syarat minimal, prodi bisa membuka kelas baru. Kelas yang sudah dipilih bisa dibatalkan jika pesertanya tidak memenuhi syarat minimal.  Jika ada mahasiwa yang masih tetap belum mendapatkan kelas atau input krsnya hilang dapat menghubungi ketua prodi;administratif
untuk kelas [mata kuliah] penuh, apakah masih ada penambahan kuota untuk kelas tersebut?;Silahkan dicek kembali setelah sesi revisi KRS. kemungkinan ada slot yang kosong. Jika memang peminatnya memenuhi syarat minimal, prodi bisa membuka kelas baru. Kelas yang sudah dipilih bisa dibatalkan jika pesertanya tidak memenuhi syarat minimal.  Jika ada mahasiwa yang masih tetap belum mendapatkan kelas atau input krsnya hilang dapat menghubungi ketua prodi;administratif
untuk prodi SI akan ada update penambahan kelas dan kuotanya tidak ya pak?;Silahkan dicek kembali setelah sesi revisi KRS. kemungkinan ada slot yang kosong. Jika memang peminatnya memenuhi syarat minimal, prodi bisa membuka kelas baru. Kelas yang sudah dipilih bisa dibatalkan jika pesertanya tidak memenuhi syarat minimal.  Jika ada mahasiwa yang masih tetap belum mendapatkan kelas atau input krsnya hilang dapat menghubungi ketua prodi;administratif
Bagaimana cara mengurus keterlambatan pengisian KRS?;Anda dapat menghubungi bagian administrasi program studi untuk mendapatkan solusi.;administratif
kelewat tanggal atau telat krs-an apakah bisa susulan?;Anda dapat menghubungi bagian administrasi program studi untuk mendapatkan solusi.;administratif
saya belum input krs harus mengurus kemana saya?;Anda dapat menghubungi bagian administrasi program studi untuk mendapatkan solusi.;administratif
saya ingin input krs tapi kenapa tertulis sks yang sudah saya tempuh di semester lalu 0?;Anda dapat menghubungi bagian administrasi program studi untuk mendapatkan solusi.;administratif
saya lupa jadwal input krs apakah bisa input ulang?;Anda dapat menghubungi bagian administrasi program studi untuk mendapatkan solusi.;administratif
apa akibatnya tidak menjalankan input matkul atau KRS?;Mahasiswa yang tidak melakukan KRS otomatis akan dinyatakan tidak aktif. Silahkan ajukan status cuti jika Anda berencana untuk tidak melaksanakan perkuliahan pada semester tersebut.;administratif
apa yang terjadi jika mahasiswa tidak input KRS/MK?;Mahasiswa yang tidak melakukan KRS otomatis akan dinyatakan tidak aktif. Silahkan ajukan status cuti jika Anda berencana untuk tidak melaksanakan perkuliahan pada semester tersebut.;administratif
apa yang terjadi jika tidak melaksanakan KRS?;Mahasiswa yang tidak melakukan KRS otomatis akan dinyatakan tidak aktif. Silahkan ajukan status cuti jika Anda berencana untuk tidak melaksanakan perkuliahan pada semester tersebut.;administratif
mahasiswa tidak melakukan input mata kuliah.;Mahasiswa yang tidak melakukan KRS otomatis akan dinyatakan tidak aktif. Silahkan ajukan status cuti jika Anda berencana untuk tidak melaksanakan perkuliahan pada semester tersebut.;administratif
mhs yang tidak melakukan KRS akibatnya?;Mahasiswa yang tidak melakukan KRS otomatis akan dinyatakan tidak aktif. Silahkan ajukan status cuti jika Anda berencana untuk tidak melaksanakan perkuliahan pada semester tersebut.;administratif
berkas yang disiapkan buat legalisir Ijazah?;Silahkan menghubungi bagian Akademik di Fakultas anda. Jangan lupa membawa salinan ijazah/transkrip yang akan akan dilegalisir.;administratif
dokumen apa saja yang dibutuhkan buat legalisir Transkrip nilai?;Silahkan menghubungi bagian Akademik di Fakultas anda. Jangan lupa membawa salinan ijazah/transkrip yang akan akan dilegalisir.;administratif
Legalisir Transkrip dan ijazah kemana ya?;Silahkan menghubungi bagian Akademik di Fakultas anda. Jangan lupa membawa salinan ijazah/transkrip yang akan akan dilegalisir.;administratif
Siapa yang legalisir Transkrip dan Ijazah?;Silahkan menghubungi bagian Akademik di Fakultas anda. Jangan lupa membawa salinan ijazah/transkrip yang akan akan dilegalisir.;administratif
apakah ada seleksi ketika mau pindah program studi?;"Mahasiswa Pindahan
1. UPN Veteran Yogyakarta memberi kesempatan mahasiswa pindah program studi di lingkungan UPN Veteran Yogyakarta satu kali pada akhir tahun pertama.
2. Pindah program studi sebagaimana dimaksud poin 1. tidak mengubah batas waktu studi.
3. Mahasiswa yang akan melaksanakan pindah program studi harus lulus seleksi Penerimaan Mahasiswa Baru pada program studi yang dituju di UPN Veteran Yogyakarta
4. Mahasiswa yang akan melaksanakan pindah program studi harus sudah melunasi kewajiban administrasi keuangan sampai dengan semester terakhir pada program studi yang akan ditinggalkan.
5. Nilai akademik yang telah diperoleh mahasiswa pindah Program studi pada Program studi sebelumnya tidak dapat diakui/dikonversi pada program studi baru.";administratif
bagaimana prosedur beralih jurusan?;"Mahasiswa Pindahan
1. UPN Veteran Yogyakarta memberi kesempatan mahasiswa pindah program studi di lingkungan UPN Veteran Yogyakarta satu kali pada akhir tahun pertama.
2. Pindah program studi sebagaimana dimaksud poin 1. tidak mengubah batas waktu studi.
3. Mahasiswa yang akan melaksanakan pindah program studi harus lulus seleksi Penerimaan Mahasiswa Baru pada program studi yang dituju di UPN Veteran Yogyakarta
4. Mahasiswa yang akan melaksanakan pindah program studi harus sudah melunasi kewajiban administrasi keuangan sampai dengan semester terakhir pada program studi yang akan ditinggalkan.
5. Nilai akademik yang telah diperoleh mahasiswa pindah Program studi pada Program studi sebelumnya tidak dapat diakui/dikonversi pada program studi baru.";administratif
ketika diterima prodi baru apakah nilai matkul yang sama bisa digunakan?;"Mahasiswa Pindahan
1. UPN Veteran Yogyakarta memberi kesempatan mahasiswa pindah program studi di lingkungan UPN Veteran Yogyakarta satu kali pada akhir tahun pertama.
2. Pindah program studi sebagaimana dimaksud poin 1. tidak mengubah batas waktu studi.
3. Mahasiswa yang akan melaksanakan pindah program studi harus lulus seleksi Penerimaan Mahasiswa Baru pada program studi yang dituju di UPN Veteran Yogyakarta
4. Mahasiswa yang akan melaksanakan pindah program studi harus sudah melunasi kewajiban administrasi keuangan sampai dengan semester terakhir pada program studi yang akan ditinggalkan.
5. Nilai akademik yang telah diperoleh mahasiswa pindah Program studi pada Program studi sebelumnya tidak dapat diakui/dikonversi pada program studi baru.";administratif
Langkah yang harus dilalui untuk pindah program studi?;"Mahasiswa Pindahan
1. UPN Veteran Yogyakarta memberi kesempatan mahasiswa pindah program studi di lingkungan UPN Veteran Yogyakarta satu kali pada akhir tahun pertama.
2. Pindah program studi sebagaimana dimaksud poin 1. tidak mengubah batas waktu studi.
3. Mahasiswa yang akan melaksanakan pindah program studi harus lulus seleksi Penerimaan Mahasiswa Baru pada program studi yang dituju di UPN Veteran Yogyakarta
4. Mahasiswa yang akan melaksanakan pindah program studi harus sudah melunasi kewajiban administrasi keuangan sampai dengan semester terakhir pada program studi yang akan ditinggalkan.
5. Nilai akademik yang telah diperoleh mahasiswa pindah Program studi pada Program studi sebelumnya tidak dapat diakui/dikonversi pada program studi baru.";administratif
salaha jurusan ingin rasanya pindah program studi, bisa tidak?;"Mahasiswa Pindahan
1. UPN Veteran Yogyakarta memberi kesempatan mahasiswa pindah program studi di lingkungan UPN Veteran Yogyakarta satu kali pada akhir tahun pertama.
2. Pindah program studi sebagaimana dimaksud poin 1. tidak mengubah batas waktu studi.
3. Mahasiswa yang akan melaksanakan pindah program studi harus lulus seleksi Penerimaan Mahasiswa Baru pada program studi yang dituju di UPN Veteran Yogyakarta
4. Mahasiswa yang akan melaksanakan pindah program studi harus sudah melunasi kewajiban administrasi keuangan sampai dengan semester terakhir pada program studi yang akan ditinggalkan.
5. Nilai akademik yang telah diperoleh mahasiswa pindah Program studi pada Program studi sebelumnya tidak dapat diakui/dikonversi pada program studi baru.";administratif
semester berapa mahasiswa boleh pindah studi?;"Mahasiswa Pindahan
1. UPN Veteran Yogyakarta memberi kesempatan mahasiswa pindah program studi di lingkungan UPN Veteran Yogyakarta satu kali pada akhir tahun pertama.
2. Pindah program studi sebagaimana dimaksud poin 1. tidak mengubah batas waktu studi.
3. Mahasiswa yang akan melaksanakan pindah program studi harus lulus seleksi Penerimaan Mahasiswa Baru pada program studi yang dituju di UPN Veteran Yogyakarta
4. Mahasiswa yang akan melaksanakan pindah program studi harus sudah melunasi kewajiban administrasi keuangan sampai dengan semester terakhir pada program studi yang akan ditinggalkan.
5. Nilai akademik yang telah diperoleh mahasiswa pindah Program studi pada Program studi sebelumnya tidak dapat diakui/dikonversi pada program studi baru.";administratif
syarat pengurusan pindah prodi dan  prosesnya bagaimana?;"Mahasiswa Pindahan
1. UPN Veteran Yogyakarta memberi kesempatan mahasiswa pindah program studi di lingkungan UPN Veteran Yogyakarta satu kali pada akhir tahun pertama.
2. Pindah program studi sebagaimana dimaksud poin 1. tidak mengubah batas waktu studi.
3. Mahasiswa yang akan melaksanakan pindah program studi harus lulus seleksi Penerimaan Mahasiswa Baru pada program studi yang dituju di UPN Veteran Yogyakarta
4. Mahasiswa yang akan melaksanakan pindah program studi harus sudah melunasi kewajiban administrasi keuangan sampai dengan semester terakhir pada program studi yang akan ditinggalkan.
5. Nilai akademik yang telah diperoleh mahasiswa pindah Program studi pada Program studi sebelumnya tidak dapat diakui/dikonversi pada program studi baru.";administratif
alur kalau mau buat pernyataan masih belajar di upn?;"Prosedur Surat Keterangan Mahasiswa Aktif
*Surat  keterangan  aktif  mahasiswa  dapat  dikirim  melalui  email mursitoupn@gmail.com  dengan  subyek  SURAT  KETERANGAN  MHS
*Format  surat  dapat  diakses  dilaman  upnyk.ac.id  (silakan  pilih  format  sesuai  alasan  kebutuhan)";administratif
apa saja perlengkapan yang harus saya persiapkan apabila ingin membuat surat keterangan mahasiswa aktif?;"Prosedur Surat Keterangan Mahasiswa Aktif
*Surat  keterangan  aktif  mahasiswa  dapat  dikirim  melalui  email mursitoupn@gmail.com  dengan  subyek  SURAT  KETERANGAN  MHS
*Format  surat  dapat  diakses  dilaman  upnyk.ac.id  (silakan  pilih  format  sesuai  alasan  kebutuhan)";administratif
bagaimana prosedur mendapatkan bukti keterangan aktif?;"Prosedur Surat Keterangan Mahasiswa Aktif
*Surat  keterangan  aktif  mahasiswa  dapat  dikirim  melalui  email mursitoupn@gmail.com  dengan  subyek  SURAT  KETERANGAN  MHS
*Format  surat  dapat  diakses  dilaman  upnyk.ac.id  (silakan  pilih  format  sesuai  alasan  kebutuhan)";administratif
buat minta surat keterangan kuliah itu bisa offline atau kalau online, tahapannya seperti apa?;"Prosedur Surat Keterangan Mahasiswa Aktif
*Surat  keterangan  aktif  mahasiswa  dapat  dikirim  melalui  email mursitoupn@gmail.com  dengan  subyek  SURAT  KETERANGAN  MHS
*Format  surat  dapat  diakses  dilaman  upnyk.ac.id  (silakan  pilih  format  sesuai  alasan  kebutuhan)";administratif
cara mendapatkan surat keterangan aktif mahasiswa upnvyk?;"Prosedur Surat Keterangan Mahasiswa Aktif
*Surat  keterangan  aktif  mahasiswa  dapat  dikirim  melalui  email mursitoupn@gmail.com  dengan  subyek  SURAT  KETERANGAN  MHS
*Format  surat  dapat  diakses  dilaman  upnyk.ac.id  (silakan  pilih  format  sesuai  alasan  kebutuhan)";administratif
dimanakah saya dapat membuat surat keterangan aktif mahasiswa?;"Prosedur Surat Keterangan Mahasiswa Aktif
*Surat  keterangan  aktif  mahasiswa  dapat  dikirim  melalui  email mursitoupn@gmail.com  dengan  subyek  SURAT  KETERANGAN  MHS
*Format  surat  dapat  diakses  dilaman  upnyk.ac.id  (silakan  pilih  format  sesuai  alasan  kebutuhan)";administratif
file apa yang harus dikumpulkan untuk mendapatkan ket aktif kuliah?;"Prosedur Surat Keterangan Mahasiswa Aktif
*Surat  keterangan  aktif  mahasiswa  dapat  dikirim  melalui  email mursitoupn@gmail.com  dengan  subyek  SURAT  KETERANGAN  MHS
*Format  surat  dapat  diakses  dilaman  upnyk.ac.id  (silakan  pilih  format  sesuai  alasan  kebutuhan)";administratif
Urus surat keterangan sedang aktif belajar dimana ya ?;"Prosedur Surat Keterangan Mahasiswa Aktif
*Surat  keterangan  aktif  mahasiswa  dapat  dikirim  melalui  email mursitoupn@gmail.com  dengan  subyek  SURAT  KETERANGAN  MHS
*Format  surat  dapat  diakses  dilaman  upnyk.ac.id  (silakan  pilih  format  sesuai  alasan  kebutuhan)";administratif
apakah form surat keterangan aktif dapat diajukan secara online?;FORMAT SURAT KET AKTIF MAHASISWA.docx;administratif
blangko bukti sedang kuliah di upn.;FORMAT SURAT KET AKTIF MAHASISWA.docx;administratif
data apa sajakah yang diperlukan untuk mengisi format surat keterangan aktif?;FORMAT SURAT KET AKTIF MAHASISWA.docx;administratif
tautan formulir surat keterangan aktif belajar di upnvyk.;FORMAT SURAT KET AKTIF MAHASISWA.docx;administratif
apa syarat yang harus saya lengkapi untuk ambil cuti akademik?;mengisi Blanko_Cuti_Akademik_Mahasiswa.docx yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.. Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas.;administratif
apabila ingin mengajukan status nonaktif kuliah dimana ya?;mengisi Blanko_Cuti_Akademik_Mahasiswa.docx yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.. Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas.;administratif
bagaimana langkah prosedur untuk ambil cuti?;mengisi Blanko_Cuti_Akademik_Mahasiswa.docx yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.. Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas.;administratif
berkas apa yang harus dipersiapkan permohonan 0 sks?;mengisi Blanko_Cuti_Akademik_Mahasiswa.docx yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.. Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas.;administratif
dimana bisa urus ambil nol sks semester ini?;mengisi Blanko_Cuti_Akademik_Mahasiswa.docx yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.. Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas.;administratif
saya ingin cuti karena terkendala biaya, syarat dan ketentuan apa saja yang perlu dilakukan untuk tidak ambil kelas?;mengisi Blanko_Cuti_Akademik_Mahasiswa.docx yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.. Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas.;administratif
tahapan pengajuan yang harus dikerjakan untuk cuti akademik apa saja?;mengisi Blanko_Cuti_Akademik_Mahasiswa.docx yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.. Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas.;administratif
blangko pengajuan mahasiswa nonaktif semester!;Blanko_Cuti_Akademik_Mahasiswa.docx;administratif
dimana saya mendapatkan formulir tidak ambil kuliah?;Blanko_Cuti_Akademik_Mahasiswa.docx;administratif
link download format permohonan tidak aktif kuliah.;Blanko_Cuti_Akademik_Mahasiswa.docx;administratif
minta blangko cuti akademik mahasiswa?;Blanko_Cuti_Akademik_Mahasiswa.docx;administratif
alasan apa saja yang diperbolehkan untuk nonaktif akademik?;"Ketetuan Pengajuan Cuti Akademik
1. Mahasiswa dapat mengajukan cuti akademik antara lain dengan alasan keuangan dan/atau sakit.
2. Ketentuan pengajuan cuti adalah sebagai berikut
a. Mahasiswa sudah menempuh sekurang-kurangnya 4 (empat) semester
b. Mahasiswa yang karena alasan sakit/hamil dapat mengambil cuti akademik walaupun belum mencapai lama studi empat semester.
c. Mahasiswa sudah menyelesaikan kewajiban administrasi dan keuangan yang ditentukan.
d. Cuti akademik diberikan selama-lamanya selama 2 (dua) semester dan tidak boleh diambil secara berturut-turut.
e. Cuti akademik diperhitungkan dalam batas lama studi.
f. Permohonan cuti diajukan kepada Rektor sesuai dengan jadwal yang tertera pada kalender akademik.
g. Permohonan cuti disertai dengan dokumen penunjang yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.";administratif
apa syarat yang harus saya lengkapi untuk mengajukan cuti akademik?;"Ketetuan Pengajuan Cuti Akademik
1. Mahasiswa dapat mengajukan cuti akademik antara lain dengan alasan keuangan dan/atau sakit.
2. Ketentuan pengajuan cuti adalah sebagai berikut
a. Mahasiswa sudah menempuh sekurang-kurangnya 4 (empat) semester
b. Mahasiswa yang karena alasan sakit/hamil dapat mengambil cuti akademik walaupun belum mencapai lama studi empat semester.
c. Mahasiswa sudah menyelesaikan kewajiban administrasi dan keuangan yang ditentukan.
d. Cuti akademik diberikan selama-lamanya selama 2 (dua) semester dan tidak boleh diambil secara berturut-turut.
e. Cuti akademik diperhitungkan dalam batas lama studi.
f. Permohonan cuti diajukan kepada Rektor sesuai dengan jadwal yang tertera pada kalender akademik.
g. Permohonan cuti disertai dengan dokumen penunjang yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.";administratif
Apakah diperbolehkan nonaktif kuliah berturut-turut selama beberapa semester?;"Ketetuan Pengajuan Cuti Akademik
1. Mahasiswa dapat mengajukan cuti akademik antara lain dengan alasan keuangan dan/atau sakit.
2. Ketentuan pengajuan cuti adalah sebagai berikut
a. Mahasiswa sudah menempuh sekurang-kurangnya 4 (empat) semester
b. Mahasiswa yang karena alasan sakit/hamil dapat mengambil cuti akademik walaupun belum mencapai lama studi empat semester.
c. Mahasiswa sudah menyelesaikan kewajiban administrasi dan keuangan yang ditentukan.
d. Cuti akademik diberikan selama-lamanya selama 2 (dua) semester dan tidak boleh diambil secara berturut-turut.
e. Cuti akademik diperhitungkan dalam batas lama studi.
f. Permohonan cuti diajukan kepada Rektor sesuai dengan jadwal yang tertera pada kalender akademik.
g. Permohonan cuti disertai dengan dokumen penunjang yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.";administratif
