pertanyaan;intent;jawaban;kategori
p.;bot.testing;Saya selalu punya waktu untuk mengobrol dengan Anda. Apa yang bisa saya lakukan untuk Anda?;bot
ping!;bot.testing;aktif Selalu!;bot
test.;bot.testing;Saya selalu punya waktu untuk mengobrol dengan Anda. Apa yang bisa saya lakukan untuk Anda?;bot
testing chatbot.;bot.testing;aktif Selalu!;bot
testing.;bot.testing;Saya selalu punya waktu untuk mengobrol dengan Anda. Apa yang bisa saya lakukan untuk Anda?;bot
apakah ada seseorang disana?;bot.there;Tentu saja. Saya selalu di sini;bot
apakah kamu belum pergi?;bot.there;Tentu saja. Saya selalu di sini;bot
apakah kamu masih bertahan?;bot.there;Tepat di tempat Anda meninggalkan saya;bot
apakah kamu masih di [sana|sini] ?;bot.there;Tentu saja. Saya selalu di sini;bot
kamu masih di tempat?;bot.there;Tepat di tempat Anda meninggalkan saya;bot
bagus!;dialog.appriciate;Saya senang Anda berpikir begitu;dialog
hebat.;dialog.appriciate;Terima kasih! Saya melakukan yang terbaik!;dialog
kamu [sangat|luar biasa] baik!;dialog.appriciate;Saya senang Anda berpikir begitu;dialog
kamu bekerja dengan baik!;dialog.appriciate;Terima kasih! Saya melakukan yang terbaik!;dialog
keren!;dialog.appriciate;Saya senang Anda berpikir begitu;dialog
luar biasa.;dialog.appriciate;Terima kasih! Saya melakukan yang terbaik!;dialog
nice.;dialog.appriciate;Saya senang Anda berpikir begitu;dialog
[misi|permisi] min, mau numpang tanya dong?;dialog.asktome;Iya,mau tanya apa?;dialog
adakah yang bisa jawab pertanyaan saya?;dialog.asktome;Silahkan ada yang bisa saya bantu?;dialog
apakah saya boleh bertanya.;dialog.asktome;Saya pasti akan mencoba yang terbaik;dialog
beritahu saya informasi.;dialog.asktome;Saya pasti akan mencoba yang terbaik;dialog
izin bertanya.;dialog.asktome;Iya,mau tanya apa?;dialog
mau tanya dong.;dialog.asktome;Silahkan ada yang bisa saya bantu?;dialog
maukah kamu menjawab pertanyaan ku?;dialog.asktome;Saya pasti akan mencoba yang terbaik;dialog
saya mau nanya.;dialog.asktome;Iya,mau tanya apa?;dialog
tolong beri saya informasi!;dialog.asktome;Iya,mau tanya apa?;dialog
tolong jawab.;dialog.asktome;Silahkan ada yang bisa saya bantu?;dialog
Aku [kembali|di sini|telah kembali].;dialog.back;Selamat datang kembali. Apa yang dapat saya lakukan untuk Anda?;dialog
ini aku lagi.;dialog.back;Senang Anda ada di sini. Apa yang dapat saya lakukan untuk Anda?;dialog
aku butuh bantuanmu.;dialog.help;Saya pasti akan mencoba yang terbaik;dialog
aku butuh kamu untuk membantuku.;dialog.help;Tentu. Saya akan dengan senang hati. Ada apa?;dialog
aku ingin kamu melakukan sesuatu untukku.;dialog.help;Saya senang bisa membantu. Apa yang bisa saya lakukan untuk Anda?;dialog
apakah kamu bersedia [bantu|tolong] saya?;dialog.help;Saya pasti akan mencoba yang terbaik;dialog
bisakah kamu membantuku !;dialog.help;Tentu. Saya akan dengan senang hati. Ada apa?;dialog
bisakah kamu membantuku sekarang.;dialog.help;Tentu. Saya akan dengan senang hati. Ada apa?;dialog
kamu bisa bantu saya.;dialog.help;Saya senang bisa membantu. Apa yang bisa saya lakukan untuk Anda?;dialog
maukan kamu tolong saya?;dialog.help;Saya pasti akan mencoba yang terbaik;dialog
[mohon|bisakah] tunggu [sebentar|semenit]?;dialog.holdon;Saya akan menunggu;dialog
bisa lanjut lima menit lagi?;dialog.holdon;Oke, saya di sini;dialog
harap tunggu lima menit ya?;dialog.holdon;Oke, saya di sini;dialog
saya tinggal [sebentar|semenit] saja ya?;dialog.holdon;Saya akan menunggu;dialog
sebentar saya akan datang lagi.;dialog.holdon;Oke, saya di sini;dialog
tunggu sebentar.;dialog.holdon;Saya akan menunggu;dialog
hai nama saya adalah %name%.;dialog.introduction;Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;dialog
hai, perkenalkan saya adalah %name%.;dialog.introduction;Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;dialog
perkenalkan nama saya %name%.;dialog.introduction;Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;dialog
misi.;dialog.permision;Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;dialog
permisi pak/bu?;dialog.permision;Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;dialog
maaf mengganggu waktunya min.;dialog.sorry;Tidak apa-apa. Jangan khawatir;dialog
maafkan saya.;dialog.sorry;Sudahlah tidak perlu dipikirkan.;dialog
sangat menyesal.;dialog.sorry;Tidak apa-apa. Jangan khawatir;dialog
saya merasa bersalah!;dialog.sorry;Sudahlah tidak perlu dipikirkan.;dialog
saya minta maaf.;dialog.sorry;Tidak apa-apa. Jangan khawatir;dialog
sorry ganggu!;dialog.sorry;Sudahlah tidak perlu dipikirkan.;dialog
[ayo|yuk|mari] ngobrol dengan saya!;dialog.talktome;Tentu! Ayo bicara!;dialog
[maukah|bisakah] kamu bicara dengan saya.;dialog.talktome;Dengan senang hati. Ayo ngobrol.;dialog
akankah kamu bicara dengan saya?;dialog.talktome;Tentu! Ayo bicara!;dialog
bicara dengan saya.;dialog.talktome;Dengan senang hati. Ayo ngobrol.;dialog
bisa mengobrol dengan saya.;dialog.talktome;Tentu! Ayo bicara!;dialog
katakan sesuatu untukku!;dialog.talktome;Dengan senang hati. Ayo ngobrol.;dialog
makasih sebelumnya.;dialog.thanks;Sama-sama. Terimakasih  sudah mengobrol dengan Iva!;dialog
Matur suwun.;dialog.thanks;Sama-sama. Terimakasih  sudah mengobrol dengan Iva!;dialog
Syukron.;dialog.thanks;Sama-sama. Terimakasih  sudah mengobrol dengan Iva!;dialog
terima kasih.;dialog.thanks;Sama-sama. Terimakasih  sudah mengobrol dengan Iva!;dialog
terimakasih.;dialog.thanks;Sama-sama. Terimakasih  sudah mengobrol dengan Iva!;dialog
Thank you.;dialog.thanks;Sama-sama. Terimakasih  sudah mengobrol dengan Iva!;dialog
thanks!;dialog.thanks;Sama-sama. Terimakasih  sudah mengobrol dengan Iva!;dialog
Namo buddhaya.;greetings.budha;Namo buddhaya! saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;greetings
Namobuddhaya.;greetings.budha;Namo buddhaya! saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;greetings
bye saya mau off.;greetings.bye;sampai jumpa lagi!;greetings
cukup segitu saja dulu, saya harus pergi..;greetings.bye;Terimakasih sudah mengobrol dengan Iva!;greetings
nanti [cerita| saya tanya lagi] ya.;greetings.bye;Sampai nanti;greetings
oh gitu ok deh.;greetings.bye;Saya berharap kita ketemu lagi.;greetings
oke.;greetings.bye;sampai jumpa lagi!;greetings
sampai [jumpa|ketemu] [lagi|lain hari]!;greetings.bye;Terimakasih sudah mengobrol dengan Iva!;greetings
sampai [nanti|disini dulu] ya?;greetings.bye;Sampai nanti;greetings
selamat tinggal untuk sekarang.;greetings.bye;Saya berharap kita ketemu lagi.;greetings
semenit lagi saya kembali.;greetings.bye;sampai jumpa lagi!;greetings
yaudah.;greetings.bye;Terimakasih sudah mengobrol dengan Iva!;greetings
[|selamat] siang.;greetings.day;Siang. Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;greetings
[Admin|min].;greetings.hello;Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;greetings
[Bro|kak|sist|mas|mbak|coy].;greetings.hello;Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;greetings
[halo|hai|helo|hello|hi|hallo].;greetings.hello;Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;greetings
Om swastiastu.;greetings.hindu;Om swastiastu! Informatika Virtual Assistant! Ada yang bisa saya bantu?;greetings
Om Swastyastu.;greetings.hindu;Om swastiastu! Informatika Virtual Assistant! Ada yang bisa saya bantu?;greetings
Omswastiastu.;greetings.hindu;Om swastiastu! Informatika Virtual Assistant! Ada yang bisa saya bantu?;greetings
adakah kabar bahagia?;greetings.howareyou;Merasa luar biasa! Semoga kau pun begitu!;greetings
apa [kabar|keadaan|perasaan]mu [baik|sehat]?;greetings.howareyou;Merasa luar biasa! Semoga kau pun begitu!;greetings
apa kamu baik baik saja.;greetings.howareyou;Merasa luar biasa! Semoga kau pun begitu!;greetings
bagaimana [harimu|hari mu|kabarmu|kabar mu].;greetings.howareyou;Merasa luar biasa! Semoga kau pun begitu!;greetings
bagaimana [kabar|keadaan|perasaan]mu hari ini?;greetings.howareyou;Merasa luar biasa! Semoga kau pun begitu!;greetings
semoga sehat selalu.;greetings.howareyou;Merasa luar biasa! Semoga kau pun begitu!;greetings
assalamu alaikum wr wb.;greetings.islam;Wa alaikumsalam wr. wb. saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;greetings
assalamu alaikum, mau tanya?;greetings.islam;Wa alaikumsalam wr. wb. saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;greetings
assalamualaikum warahmatullahi wabarakatu.;greetings.islam;Wa alaikumsalam wr. wb. saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;greetings
assalamualaikum.;greetings.islam;Wa alaikumsalam wr. wb. saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;greetings
Salam sejahtera bagi kita semua.;greetings.katolik;Salam sejahtera bagi kita semua! Informatika Virtual Assistant! Ada yang bisa saya bantu?;greetings
Salam sejahtera!;greetings.katolik;Salam sejahtera bagi kita semua! Informatika Virtual Assistant! Ada yang bisa saya bantu?;greetings
Salam kebajikan min.;greetings.konghucu;Salam kebajikan! Informatika Virtual Assistant! Ada yang bisa saya bantu?;greetings
Salam kebajikan.;greetings.konghucu;Salam kebajikan! Informatika Virtual Assistant! Ada yang bisa saya bantu?;greetings
Shalom min.;greetings.kris;Shalom! saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;greetings
Shalom.;greetings.kris;Shalom! saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;greetings
[selamat|] pagi.;greetings.morning;Pagi. Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;greetings
[saya|] senang bertemu denganmu.;greetings.nicetomeetyou;Senang bertemu denganmu juga;greetings
bertemu dengan mu menyenangkan!;greetings.nicetomeetyou;Begitu juga. Aku berharap bisa membantumu;greetings
senang [bertemu denganmu|melihatmu].;greetings.nicetomeetyou;Senang bertemu denganmu, juga;greetings
senang berjumpa dengan mu!;greetings.nicetomeetyou;Senang bertemu denganmu juga;greetings
[saya|] senang bisa [berbicara|mengobrol] denganmu.;greetings.nicetotalktoyou;Kita bisa ngobrol lagi dilain waktu.;greetings
berbicara dengan mu menyenangkan!;greetings.nicetotalktoyou;Kita bisa ngobrol lagi dilain waktu.;greetings
saya senang bertemu denganmu!;greetings.nicetotalktoyou;Aku juga senang ngobrol denganmu.;greetings
senang bisa mengobrol!;greetings.nicetotalktoyou;Aku juga senang ngobrol denganmu.;greetings
[|selamat] malam.;greetings.night;malam. Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;greetings
selamat petang!;greetings.night;malam. Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;greetings
[|selamat] sore!;greetings.noon;Sore. Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;greetings
[kamu|] lagi apa.;greetings.whatareyoudoing;Mengobrol dengan kamu;greetings
[kamu|] sedang apa.;greetings.whatareyoudoing;Menunggu balasan dari kamu;greetings
ada yang berhasil bayar ukt hari ini?;jadwal.bayar ukt;3 s.d 14 Agustus 2021;jadwal
Ada yang tau bayar kuliah kapan ?;jadwal.bayar ukt;3 s.d 14 Agustus 2021;jadwal
Aku nggak bisa terus tiap mau bayar Ini bayar ukt sampai tgl berapa ya? ;jadwal.bayar ukt;3 s.d 14 Agustus 2021;jadwal
batas pembayaran UKT sampai kapan ya?;jadwal.bayar ukt;3 s.d 14 Agustus 2021;jadwal
bayar kuliah jadinya dari kapan sampai kapan ya kalo gitu?;jadwal.bayar ukt;3 s.d 14 Agustus 2021;jadwal
kapan mulai bisa bayar UKT?;jadwal.bayar ukt;3 s.d 14 Agustus 2021;jadwal
Sampai tanggal berapa pembayaran ukt nya ada yang tau ?;jadwal.bayar ukt;3 s.d 14 Agustus 2021;jadwal
sudah bisa bayar ukt/spp ?;jadwal.bayar ukt;3 s.d 14 Agustus 2021;jadwal
Udah bisa bayar spp belum ?;jadwal.bayar ukt;3 s.d 14 Agustus 2021;jadwal
Ukt/SPP pembayaran terakhir kapan ya?;jadwal.bayar ukt;3 s.d 14 Agustus 2021;jadwal
agenda permohonan izin Cuti akademik?;jadwal.cuti dan pemulihan;24 Juni s.d 24 Juli 2020;jadwal
agenda permohonan pemulihan status mahasiswa aktif?;jadwal.cuti dan pemulihan;24 Juni s.d 24 Juli 2020;jadwal
jadwal bisa ngajuin permohonan cuti kapan?;jadwal.cuti dan pemulihan;24 Juni s.d 24 Juli 2020;jadwal
jadwal urus pendaftaran pemulihan status kapan?;jadwal.cuti dan pemulihan;24 Juni s.d 24 Juli 2020;jadwal
kapan batas terakhir bisa pemulihan status akademik?;jadwal.cuti dan pemulihan;24 Juni s.d 24 Juli 2020;jadwal
kapan batas terakhir pengajuan cuti akademik?;jadwal.cuti dan pemulihan;24 Juni s.d 24 Juli 2020;jadwal
tanggal berapa bisa urus nonaktif kuliah?;jadwal.cuti dan pemulihan;24 Juni s.d 24 Juli 2020;jadwal
tanggal bisa pengajuan pengembalian mahasiswa aktif setelah mangkir?;jadwal.cuti dan pemulihan;24 Juni s.d 24 Juli 2020;jadwal
waktu untuk bisa daftar nol sks di semester depan? ;jadwal.cuti dan pemulihan;24 Juni s.d 24 Juli 2020;jadwal
waktu untuk bisa daftar pemulihan status selesai cuti kuliah/nol sks? ;jadwal.cuti dan pemulihan;24 Juni s.d 24 Juli 2020;jadwal
Agenda Pendaftaran KP Kapan?;jadwal.daftar kp;Pendaftaran KP dibuka tanpa batas waktu sepanjang semester.;jadwal
Jadwal pendaftaran KP!;jadwal.daftar kp;Pendaftaran KP dibuka tanpa batas waktu sepanjang semester.;jadwal
Kapan pendaftaran KP dibuka?;jadwal.daftar kp;Pendaftaran KP dibuka tanpa batas waktu sepanjang semester.;jadwal
Mulai kapan pendaftaran KP?;jadwal.daftar kp;Pendaftaran KP dibuka tanpa batas waktu sepanjang semester.;jadwal
Waktu pengajuan KP!;jadwal.daftar kp;Pendaftaran KP dibuka tanpa batas waktu sepanjang semester.;jadwal
Hasil Seleksi LF kapan diumumkan?;jadwal.daftar lf;Pendaftaran LF dibuka tanggal 18-24 Januari 2021. Pengumam hasil seleksi pemberkasan calon peserta magang LF akan disampaikan pada 28 Januari 2021.;jadwal
kapan dibuka dan akhir pendaftaran LF?;jadwal.daftar lf;Pendaftaran LF dibuka tanggal 18-24 Januari 2021. Pengumam hasil seleksi pemberkasan calon peserta magang LF akan disampaikan pada 28 Januari 2021.;jadwal
Kapan pengumuman peserta yang lolos daftar LF/Learning Factory?;jadwal.daftar lf;Pendaftaran LF dibuka tanggal 18-24 Januari 2021. Pengumam hasil seleksi pemberkasan calon peserta magang LF akan disampaikan pada 28 Januari 2021.;jadwal
waktu Pendaftaran dan pengumuman seleksi LF!;jadwal.daftar lf;Pendaftaran LF dibuka tanggal 18-24 Januari 2021. Pengumam hasil seleksi pemberkasan calon peserta magang LF akan disampaikan pada 28 Januari 2021.;jadwal
waktu registrasi dan pengumuman seleksi Learning Factory!;jadwal.daftar lf;Pendaftaran LF dibuka tanggal 18-24 Januari 2021. Pengumam hasil seleksi pemberkasan calon peserta magang LF akan disampaikan pada 28 Januari 2021.;jadwal
kapan jadwal untuk pendaftaran wisuda bulan januari?;jadwal.daftar wisuda;"Pendaftaran Wisuda Periode I, III :7 Feb s.d 07 Maret 2020
Pendaftaran Wisuda Periode II, IV :05 Nopember 2020 s.d 2020
";jadwal
tanggal berapa pendaftaran wisuda dimulai?;jadwal.daftar wisuda;"Pendaftaran Wisuda Periode I, III :7 Feb s.d 07 Maret 2020
Pendaftaran Wisuda Periode II, IV :05 Nopember 2020 s.d 2020
";jadwal
waktu untuk registrasi wisuda!;jadwal.daftar wisuda;"Pendaftaran Wisuda Periode I, III :7 Feb s.d 07 Maret 2020
Pendaftaran Wisuda Periode II, IV :05 Nopember 2020 s.d 2020
";jadwal
batas akhir harus putus studi?;jadwal.eval putus studi;23-27 Nopember 2020;jadwal
evaluasi putus studi?;jadwal.eval putus studi;23-27 Nopember 2020;jadwal
Pendaftaran pengunduran diri terakhir!;jadwal.eval putus studi;23-27 Nopember 2020;jadwal
sampai kapan kesempatan untuk lulus sebelum putus studi?;jadwal.eval putus studi;23-27 Nopember 2020;jadwal
tanggal evaluasi putus studi?;jadwal.eval putus studi;23-27 Nopember 2020;jadwal
adakah jadwal kegiatan akademik tahun ajaran ini lengkap?;jadwal.kalender akademik;kalender akademik.pdf;jadwal
agenda full dari awal sampai uas tanggal berapa aja?;jadwal.kalender akademik;kalender akademik.pdf;jadwal
apa saja kegiatan akademik di upn?;jadwal.kalender akademik;kalender akademik.pdf;jadwal
apakah boleh minta kalender akademik untuk semester ini?;jadwal.kalender akademik;kalender akademik.pdf;jadwal
apakah kalender akademik tersedia dalam bentuk pdf?;jadwal.kalender akademik;kalender akademik.pdf;jadwal
bisakah saya minta link buat unduh kalender akademik?;jadwal.kalender akademik;kalender akademik.pdf;jadwal
dimana kita bisa melihat kalender akademik?;jadwal.kalender akademik;kalender akademik.pdf;jadwal
dimana saya bisa mendapatkan kalender akademik terbaru?;jadwal.kalender akademik;kalender akademik.pdf;jadwal
download kalender akademik !;jadwal.kalender akademik;kalender akademik.pdf;jadwal
kalender akademik bisa dilihat di website mana?;jadwal.kalender akademik;kalender akademik.pdf;jadwal
jadwal kegiatan kkn?;jadwal.kkn;7 Feb s.d 07 Maret 2020;jadwal
kapan pelaksanaan KKN?;jadwal.kkn;7 Feb s.d 07 Maret 2020;jadwal
waktu kegiatan pelaksanaan KKN!;jadwal.kkn;7 Feb s.d 07 Maret 2020;jadwal
waktu pelaksanaan rangkaian Kuliah kerja nyata!;jadwal.kkn;7 Feb s.d 07 Maret 2020;jadwal
Input KRP kapan ya?;jadwal.krsan;31 Agustus s.d 11 September 2020;jadwal
jadwal pengisian KRS kapan?;jadwal.krsan;31 Agustus s.d 11 September 2020;jadwal
kapan dilaksanakan KRS? ;jadwal.krsan;31 Agustus s.d 11 September 2020;jadwal
KRS-an hari ini sampai jam berapa ya?;jadwal.krsan;31 Agustus s.d 11 September 2020;jadwal
mulai/sampai tanggal berapa pengisian KRP?;jadwal.krsan;31 Agustus s.d 11 September 2020;jadwal
batas akhir perkuliahan semester ini.;jadwal.mulai perkuliahan;7 s.d 25 September 2020;jadwal
kapan tanggal batas semester ini?;jadwal.mulai perkuliahan;7 s.d 25 September 2020;jadwal
kapan tgl mulai libur semester?;jadwal.mulai perkuliahan;7 s.d 25 September 2020;jadwal
kegiatan belajar/kuliah sampai tanggal berapa ya?;jadwal.mulai perkuliahan;7 s.d 25 September 2020;jadwal
kegiatan di kampus dimulai kapan?;jadwal.mulai perkuliahan;7 s.d 25 September 2020;jadwal
Mulai perkuliahan lagi kapan ya?;jadwal.mulai perkuliahan;7 s.d 25 September 2020;jadwal
pertemuan pertama semester ini kapan ya?;jadwal.mulai perkuliahan;7 s.d 25 September 2020;jadwal
tanggal pelaksanaan kuliah dan praktikum perdana dimulai kapan ya?;jadwal.mulai perkuliahan;7 s.d 25 September 2020;jadwal
tanggal pertemuan kelas pertama.;jadwal.mulai perkuliahan;7 s.d 25 September 2020;jadwal
agenda tatap muka hari pertama praktikum?;jadwal.mulai praktikum;7 s.d 25 September 2020;jadwal
jadwal praktikum diawali tanggal berapa?;jadwal.mulai praktikum;7 s.d 25 September 2020;jadwal
kapan mulai praktikum?;jadwal.mulai praktikum;7 s.d 25 September 2020;jadwal
kegiatan praktikum dan pembelajaran berakhir kapan?;jadwal.mulai praktikum;7 s.d 25 September 2020;jadwal
tgl pertemuan terakhir praktikum?;jadwal.mulai praktikum;7 s.d 25 September 2020;jadwal
agenda pelaksanaan ujian tgl berapa ya?;jadwal.pelaksanaan ujian;"semeseter ganjil 28 Sept s.d 13 Nopember 2020
semester genap 30 Nov 2020 s.d. 20 Jan 2021";jadwal
apakah ada jadwal susulan untuk kuis/uts/uas?;jadwal.pelaksanaan ujian;"semeseter ganjil 28 Sept s.d 13 Nopember 2020
semester genap 30 Nov 2020 s.d. 20 Jan 2021";jadwal
evaluasi pembelajaran dilaksanakan kapan?;jadwal.pelaksanaan ujian;"semeseter ganjil 28 Sept s.d 13 Nopember 2020
semester genap 30 Nov 2020 s.d. 20 Jan 2021";jadwal
hari pelaksanaan uts dan uas?;jadwal.pelaksanaan ujian;"semeseter ganjil 28 Sept s.d 13 Nopember 2020
semester genap 30 Nov 2020 s.d. 20 Jan 2021";jadwal
jadwal uts dan uas kapan?;jadwal.pelaksanaan ujian;"semeseter ganjil 28 Sept s.d 13 Nopember 2020
semester genap 30 Nov 2020 s.d. 20 Jan 2021";jadwal
kapan ujian tengah dan akhir semester?;jadwal.pelaksanaan ujian;"semeseter ganjil 28 Sept s.d 13 Nopember 2020
semester genap 30 Nov 2020 s.d. 20 Jan 2021";jadwal
kegiatan ujian tgl berapa dilakukan?;jadwal.pelaksanaan ujian;"semeseter ganjil 28 Sept s.d 13 Nopember 2020
semester genap 30 Nov 2020 s.d. 20 Jan 2021";jadwal
mulai tanggal berapa ujian?;jadwal.pelaksanaan ujian;"semeseter ganjil 28 Sept s.d 13 Nopember 2020
semester genap 30 Nov 2020 s.d. 20 Jan 2021";jadwal
Tanggal pelaksanaan UTS semester ini.;jadwal.pelaksanaan ujian;"semeseter ganjil 28 Sept s.d 13 Nopember 2020
semester genap 30 Nov 2020 s.d. 20 Jan 2021";jadwal
ujian semesteran kapan?;jadwal.pelaksanaan ujian;"semeseter ganjil 28 Sept s.d 13 Nopember 2020
semester genap 30 Nov 2020 s.d. 20 Jan 2021";jadwal
ada batas waktu pengajuan sidang ta2 semester ini?;jadwal.pendaftaran sidang;JADWAL PENDAFTARAN SIDANG;jadwal
jadwal pendadaran terbaru.;jadwal.pendaftaran sidang;JADWAL PENDAFTARAN SIDANG;jadwal
kapan batas pengumpulan berkas ta2?;jadwal.pendaftaran sidang;JADWAL PENDAFTARAN SIDANG;jadwal
pendaftaran terakhir sidang pendadaran kapan?;jadwal.pendaftaran sidang;JADWAL PENDAFTARAN SIDANG;jadwal
pengajuan ujian lisan tugas akhir 2 kapan dibuka?;jadwal.pendaftaran sidang;JADWAL PENDAFTARAN SIDANG;jadwal
kapan keputusan putus studi di umumkan?;jadwal.Pengumuman Putus Studi;16-Aug-21;jadwal
Pengumuman Putus Studi!;jadwal.Pengumuman Putus Studi;16-Aug-21;jadwal
tanggal berapa batas akhir harus putus studi?;jadwal.Pengumuman Putus Studi;16-Aug-21;jadwal
tanggal Pengumuman Putus Studi keluar!;jadwal.Pengumuman Putus Studi;16-Aug-21;jadwal
[matkul] kelas B jam berapa?;jadwal.perkuliah;jadwal_.doc;jadwal
agenda kuliah dan praktikum.;jadwal.perkuliah;jadwal_.doc;jadwal
agenda kuliah.;jadwal.perkuliah;jadwal_.doc;jadwal
berikan agenda saya hari ini?;jadwal.perkuliah;jadwal_.doc;jadwal
besok belajar apa?;jadwal.perkuliah;jadwal_.doc;jadwal
besok kuliah apa?;jadwal.perkuliah;jadwal_.doc;jadwal
boleh minta jadwal MK?;jadwal.perkuliah;jadwal_.doc;jadwal
