pertanyaan;jawaban;intent;label
sudah selesai.;sampai jumpa lagi!;bye;Greeting
nanti cerita ya.;Sampai nanti;bye;Greeting
nanti saya tanya lagi ya?;Sampai nanti;bye;Greeting
Sampai nanti.;Sampai nanti;bye;Greeting
selamat tinggal untuk sekarang!;Sampai nanti;bye;Greeting
semenit lagi saya kembali.;Sampai nanti;bye;Greeting
oke sampai jumpa lagi!;Saya berharap kita ketemu lagi.;bye;Greeting
sampai disini dulu ya?;Saya berharap kita ketemu lagi.;bye;Greeting
sampai ketemu lagi!;Saya berharap kita ketemu lagi.;bye;Greeting
saya berhenti chat.;Saya berharap kita ketemu lagi.;bye;Greeting
saya harus pergi.;Saya berharap kita ketemu lagi.;bye;Greeting
bye.;Terimakasih sudah mengobrol dengan Iva!;bye;Greeting
oh gitu.;Terimakasih sudah mengobrol dengan Iva!;bye;Greeting
ok.;Terimakasih sudah mengobrol dengan Iva!;bye;Greeting
oke.;Terimakasih sudah mengobrol dengan Iva!;bye;Greeting
yaudah.;Terimakasih sudah mengobrol dengan Iva!;bye;Greeting
Admin.;Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;hello;Greeting
Bro.;Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;hello;Greeting
COY.;Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;hello;Greeting
hai?;Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;hello;Greeting
hallo min?;Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;hello;Greeting
halo?;Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;hello;Greeting
hello?;Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;hello;Greeting
hi min?;Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;hello;Greeting
Kak.;Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;hello;Greeting
kamu.;Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;hello;Greeting
Mas.;Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;hello;Greeting
mb.;Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;hello;Greeting
mbak.;Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;hello;Greeting
min.;Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;hello;Greeting
misi.;Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;hello;Greeting
permisi pak/bu?;Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;hello;Greeting
selamat * ?;Halo saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;hello;Greeting
berkas yang disiapkan buat legalisir Ijazah?;Silahkan menghubungi bagian Akademik di Fakultas anda. Jangan lupa membawa salinan ijazah/transkrip yang akan akan dilegalisir.;legalisir;Layanan administratif mahasiswa
dokumen apa saja yang dibutuhkan buat legalisir Transkrip nilai?;Silahkan menghubungi bagian Akademik di Fakultas anda. Jangan lupa membawa salinan ijazah/transkrip yang akan akan dilegalisir.;legalisir;Layanan administratif mahasiswa
Legalisir Transkrip dan ijazah kemana ya?;Silahkan menghubungi bagian Akademik di Fakultas anda. Jangan lupa membawa salinan ijazah/transkrip yang akan akan dilegalisir.;legalisir;Layanan administratif mahasiswa
Siapa yang legalisir Transkrip dan Ijazah?;Silahkan menghubungi bagian Akademik di Fakultas anda. Jangan lupa membawa salinan ijazah/transkrip yang akan akan dilegalisir.;legalisir;Layanan administratif mahasiswa
bagi form cuti akademik mahasiswa?;Blanko_Cuti_Akademik_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
bisakah saya meminta form permintaan nonaktif sementara?;Blanko_Cuti_Akademik_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
blangko pengajuan mahasiswa nonaktif semester!;Blanko_Cuti_Akademik_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
dimana saya mendapatkan formulir tidak ambil kuliah?;Blanko_Cuti_Akademik_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
download template cuti akademik!;Blanko_Cuti_Akademik_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
form nonaktif akademik mahasiswa dapat diisi dimana?;Blanko_Cuti_Akademik_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
format permohonan cuti akademik mhs dapat diunduh dimana?;Blanko_Cuti_Akademik_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
link download format permohonan tidak aktif kuliah.;Blanko_Cuti_Akademik_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
mendapatkan formulir cuti akademik?;Blanko_Cuti_Akademik_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
minta blangko cuti akademik mahasiswa?;Blanko_Cuti_Akademik_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
saya akan ambil nol sks di semester ini dimana formulir pendaftarannya?;Blanko_Cuti_Akademik_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
saya ingin mengajukan cuti akademik, dimana saya bisa mendapatkan form-nya?;Blanko_Cuti_Akademik_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
seperti apa format surat untuk ambil nol sks?;Blanko_Cuti_Akademik_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
template surat pengajuan permohonan cuti.;Blanko_Cuti_Akademik_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
unduh form nonaktif akademik dimana?;Blanko_Cuti_Akademik_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
adakah halaman website untuk mendapatkan blangko untuk permohonan pemulihan status mahasiswa setelah cuti?;Blanko_Pemulihan_Status_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
apakah form pemulihan status disediakan di akun mhs?;Blanko_Pemulihan_Status_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
bagi format permohonan pemulihan status pdf setelah nonaktif dong!;Blanko_Pemulihan_Status_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
blangko pengajuan pengembalian status mahasiswa cuti didapat dimana?;Blanko_Pemulihan_Status_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
boleh minta form kembali aktif status mhs?;Blanko_Pemulihan_Status_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
dimana saya bisa memperoleh template pengembalian status setelah selesai cuti akademik mahasiswa?;Blanko_Pemulihan_Status_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
dimana saya dapat mendapatkan form pemulihan status mhs?;Blanko_Pemulihan_Status_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
dimanakah saya bisa mendapatkan form pemulihan?;Blanko_Pemulihan_Status_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
form pemulihan status mahasiswa cuti bisa download dimana?;Blanko_Pemulihan_Status_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
form pemulihan status mhs bisa download dimana?;Blanko_Pemulihan_Status_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
format surat pengajuan pemulihan status mhs nonaktif seperti apa?;Blanko_Pemulihan_Status_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
minta template pemulihan status selesai cuti!;Blanko_Pemulihan_Status_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
saya akan meminta form pemulihan status mhs?;Blanko_Pemulihan_Status_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
seperti apa bentuk form pemulihan status mahasiswa?;Blanko_Pemulihan_Status_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
unduh formulir pemulihan status setelah selesai cuti!;Blanko_Pemulihan_Status_Mahasiswa.docx;status kuliah;Layanan administratif mahasiswa
bagaimana tutorial mendapatkan form pengunduran diri?;Blanko_Pengunduran_Diri.docx;status kuliah;Layanan administratif mahasiswa
berkas apa yang harus dikumpulkan untuk pengunduran diri?;Blanko_Pengunduran_Diri.docx;status kuliah;Layanan administratif mahasiswa
contoh dokumen pernyataan pengunduran diri seperti apa?;Blanko_Pengunduran_Diri.docx;status kuliah;Layanan administratif mahasiswa
di website mana saya bisa mendapatkan template resign kuliah?;Blanko_Pengunduran_Diri.docx;status kuliah;Layanan administratif mahasiswa
dimana dapat memperoleh format pernyataan pengunduran diri seperti apa?;Blanko_Pengunduran_Diri.docx;status kuliah;Layanan administratif mahasiswa
dimana saya bisa mengunduh form pengunduran diri dari kampus?;Blanko_Pengunduran_Diri.docx;status kuliah;Layanan administratif mahasiswa
dimanakah saya bisa mendapatkan formulir pengunduran diri perkuliahan doc?;Blanko_Pengunduran_Diri.docx;status kuliah;Layanan administratif mahasiswa
dimanakah saya mendapatkan blangko pengunduran diri?;Blanko_Pengunduran_Diri.docx;status kuliah;Layanan administratif mahasiswa
file download undur diri dari perkuliahan.;Blanko_Pengunduran_Diri.docx;status kuliah;Layanan administratif mahasiswa
form pengunduran diri!;Blanko_Pengunduran_Diri.docx;status kuliah;Layanan administratif mahasiswa
format surat pengunduran diri seperti apa?;Blanko_Pengunduran_Diri.docx;status kuliah;Layanan administratif mahasiswa
formulir pengajuan resign dari kampus.;Blanko_Pengunduran_Diri.docx;status kuliah;Layanan administratif mahasiswa
link unduh berkas pengunduran diri.;Blanko_Pengunduran_Diri.docx;status kuliah;Layanan administratif mahasiswa
minta blangko pengunduran diri format pdf!;Blanko_Pengunduran_Diri.docx;status kuliah;Layanan administratif mahasiswa
template resign bisa saya dapat dari mana?;Blanko_Pengunduran_Diri.docx;status kuliah;Layanan administratif mahasiswa
apa saya bisa meminta form surat keterangan mahasiswa aktif?;FORMAT SURAT KET AKTIF MAHASISWA.docx;status kuliah;Layanan administratif mahasiswa
apakah form surat keterangan aktif dapat diajukan secara online?;FORMAT SURAT KET AKTIF MAHASISWA.docx;status kuliah;Layanan administratif mahasiswa
berkas unduh format permohonan pernyataan mahasiswa aktif.;FORMAT SURAT KET AKTIF MAHASISWA.docx;status kuliah;Layanan administratif mahasiswa
blangko bukti sedang kuliah di upn.;FORMAT SURAT KET AKTIF MAHASISWA.docx;status kuliah;Layanan administratif mahasiswa
data apa sajakah yang diperlukan untuk mengisi format surat keterangan aktif?;FORMAT SURAT KET AKTIF MAHASISWA.docx;status kuliah;Layanan administratif mahasiswa
dimana saya bisa mangakses blangko surat keterangan aktif mahasiswa pdf?;FORMAT SURAT KET AKTIF MAHASISWA.docx;status kuliah;Layanan administratif mahasiswa
dimana saya dapat mengunduh form keterangan mhs aktif?;FORMAT SURAT KET AKTIF MAHASISWA.docx;status kuliah;Layanan administratif mahasiswa
download formulir surat keterangan aktif sudah dapat!;FORMAT SURAT KET AKTIF MAHASISWA.docx;status kuliah;Layanan administratif mahasiswa
file apa saja yang perlu di siapkan untuk membuat surat ket aktif?;FORMAT SURAT KET AKTIF MAHASISWA.docx;status kuliah;Layanan administratif mahasiswa
formulir surat keterangan aktif belajar di upnvyk.;FORMAT SURAT KET AKTIF MAHASISWA.docx;status kuliah;Layanan administratif mahasiswa
link download berkas pengajuan keterangan aktif kuliah di upnvy.;FORMAT SURAT KET AKTIF MAHASISWA.docx;status kuliah;Layanan administratif mahasiswa
mau minta dokumen format surat keterangan aktif?;FORMAT SURAT KET AKTIF MAHASISWA.docx;status kuliah;Layanan administratif mahasiswa
tautan form surat keterangan aktif apa?;FORMAT SURAT KET AKTIF MAHASISWA.docx;status kuliah;Layanan administratif mahasiswa
template surat keterangan mahasiswa aktif.;FORMAT SURAT KET AKTIF MAHASISWA.docx;status kuliah;Layanan administratif mahasiswa
apabila ingin mengajukan nonaktif kuliah dimana ya?;mengisi Blanko_Cuti_Akademik_Mahasiswa.docx yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.. Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas.;status kuliah;Layanan administratif mahasiswa
bagaimana langkah yang saya tempuh untuk cuti?;mengisi Blanko_Cuti_Akademik_Mahasiswa.docx yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.. Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas.;status kuliah;Layanan administratif mahasiswa
berkas apa yang harus dipersiapkan permohonan 0 sks?;mengisi Blanko_Cuti_Akademik_Mahasiswa.docx yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.. Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas.;status kuliah;Layanan administratif mahasiswa
berkas apa yang harus dipersiapkan untuk cuti akademik?;mengisi Blanko_Cuti_Akademik_Mahasiswa.docx yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.. Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas.;status kuliah;Layanan administratif mahasiswa
dimana bisa urus ambil nol sks semester ini?;mengisi Blanko_Cuti_Akademik_Mahasiswa.docx yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.. Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas.;status kuliah;Layanan administratif mahasiswa
prosedur mengambil nol sks!;mengisi Blanko_Cuti_Akademik_Mahasiswa.docx yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.. Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas.;status kuliah;Layanan administratif mahasiswa
saya ingin ambil 0 sks, kira-kira apa saja yang harus dilalui?;mengisi Blanko_Cuti_Akademik_Mahasiswa.docx yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.. Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas.;status kuliah;Layanan administratif mahasiswa
saya ingin cuti, apa saja yang harus dilakukan?;mengisi Blanko_Cuti_Akademik_Mahasiswa.docx yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.. Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas.;status kuliah;Layanan administratif mahasiswa
semester ini saya akan mengambil 0 sks untuk menyelesaikan skripsi, bagaimana prosedurnya?;mengisi Blanko_Cuti_Akademik_Mahasiswa.docx yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.. Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas.;status kuliah;Layanan administratif mahasiswa
Semester ini saya mau mengambil 0 sks untuk menyelesaikan tugas akhir, bagaimana prosedurnya?;mengisi Blanko_Cuti_Akademik_Mahasiswa.docx yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.. Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas.;status kuliah;Layanan administratif mahasiswa
tahapan pengajuan yang harus dikerjakan untuk cuti akademik apa saja?;mengisi Blanko_Cuti_Akademik_Mahasiswa.docx yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.. Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas.;status kuliah;Layanan administratif mahasiswa
bagaimana alur untuk mengembalikan status mahasiswa?;mengisi Blanko_Pemulihan_Status_Mahasiswa.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;status kuliah;Layanan administratif mahasiswa
bagaimana alur untuk pemulihan status mhs selesai cuti semester?;mengisi Blanko_Pemulihan_Status_Mahasiswa.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;status kuliah;Layanan administratif mahasiswa
bagaimana tahapan untuk mahasiswa kembali aktif kuliah?;mengisi Blanko_Pemulihan_Status_Mahasiswa.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;status kuliah;Layanan administratif mahasiswa
bagaimana tutorial memulihkan status mhs kembali aktif?;mengisi Blanko_Pemulihan_Status_Mahasiswa.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;status kuliah;Layanan administratif mahasiswa
cara pemulihan status mahasiswa kembali aktif sesudah cuti gimana?;mengisi Blanko_Pemulihan_Status_Mahasiswa.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;status kuliah;Layanan administratif mahasiswa
cara pemulihan status mhs sesudah ambil 0 sks gimana?;mengisi Blanko_Pemulihan_Status_Mahasiswa.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;status kuliah;Layanan administratif mahasiswa
dokumen-dokumen apa saja yang perlukan untuk pemulihan status mahasiswa mangkir? ;mengisi Blanko_Pemulihan_Status_Mahasiswa.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;status kuliah;Layanan administratif mahasiswa
dokumen-dokumen apa saja yang perlukan untuk pemulihan status mhs sehabis cuti semester? ;mengisi Blanko_Pemulihan_Status_Mahasiswa.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;status kuliah;Layanan administratif mahasiswa
langkah-langkah untuk pemulihan status mahasiswa habis nonaktif!;mengisi Blanko_Pemulihan_Status_Mahasiswa.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;status kuliah;Layanan administratif mahasiswa
langkah-langkah untuk pemulihan status mhs?;mengisi Blanko_Pemulihan_Status_Mahasiswa.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;status kuliah;Layanan administratif mahasiswa
pemulihan status mahasiswa apa saja tahapannya?;mengisi Blanko_Pemulihan_Status_Mahasiswa.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;status kuliah;Layanan administratif mahasiswa
pengembalian status mhs apa saja tahapannya?;mengisi Blanko_Pemulihan_Status_Mahasiswa.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;status kuliah;Layanan administratif mahasiswa
proses permohonan mahasiswa kembali aktif kelar cuti!;mengisi Blanko_Pemulihan_Status_Mahasiswa.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;status kuliah;Layanan administratif mahasiswa
proses permohonan mhs selesai cuti!;mengisi Blanko_Pemulihan_Status_Mahasiswa.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;status kuliah;Layanan administratif mahasiswa
surat permohonan cuti di tanda tangani oleh siapa saja?;mengisi Blanko_Pemulihan_Status_Mahasiswa.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;status kuliah;Layanan administratif mahasiswa
tahapan pemulihan status mahasiswa bagaimana?;mengisi Blanko_Pemulihan_Status_Mahasiswa.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;status kuliah;Layanan administratif mahasiswa
tahapan pengajuan status mhs nonaktif kembali aktif ?;mengisi Blanko_Pemulihan_Status_Mahasiswa.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;status kuliah;Layanan administratif mahasiswa
untuk tahapan pemulihan status mahasiswa mangkir bagaimana?;mengisi Blanko_Pemulihan_Status_Mahasiswa.docx . Setelah di isi dengan lengkap dan di tanda tangani form ini diserahkan ke Seketariat Fakultas;status kuliah;Layanan administratif mahasiswa
alur kalau mau buat pernyataan masih belajar di upn?;"Prosedur Surat Keterangan Mahasiswa Aktif
*Surat  keterangan  aktif  mahasiswa  dapat  dikirim  melalui  email mursitoupn@gmail.com  dengan  subyek  SURAT  KETERANGAN  MHS
*Format  surat  dapat  diakses  dilaman  upnyk.ac.id  (silakan  pilih  format  sesuai  alasan  kebutuhan)";status kuliah;Layanan administratif mahasiswa
